Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/command.sh
total parameter for the model:  113169537
epoch:93, train_loss:0.0002, valid_loss:3.0164, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7074, f_average:0.7072
epoch:94, train_loss:0.0003, valid_loss:3.0177, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7022, f_average:0.7022
epoch:95, train_loss:0.0001, valid_loss:3.0360, test_acc:0.7012
current acc2:0.7012, f_weighted:0.7012, f_average:0.7012
epoch:96, train_loss:0.0001, valid_loss:3.0999, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
epoch:97, train_loss:0.0009, valid_loss:3.1243, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
epoch:98, train_loss:0.0001, valid_loss:3.1238, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:99, train_loss:0.0001, valid_loss:3.1467, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7072, f_average:0.7072
Metrics summary saved to: /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/metrics.json
